reading time,reader id,poster id
2012-11-23 11:18:00,224,297
2012-11-23 11:18:00,224,297
2012-11-23 11:18:00,152,297
2012-11-23 11:18:00,297,235
2012-11-23 11:18:00,283,235
2012-11-23 11:18:00,272,235
2012-11-23 11:18:00,272,192
2012-11-23 11:18:00,76,192
2012-11-23 11:18:00,297,85
2012-11-23 11:18:00,283,85
2012-11-23 11:18:00,272,85
2012-11-23 11:18:00,297,76
2012-11-23 11:18:00,272,76
2012-11-23 11:18:00,224,76
2012-11-23 11:18:00,272,60
2012-11-23 11:18:00,224,60
2012-11-23 11:18:00,76,60
2012-11-23 11:18:00,333,18
2012-11-23 11:18:00,297,18
2012-11-23 11:18:00,272,18
2012-11-23 11:18:00,76,18
2012-11-23 11:19:00,182,301
2012-11-23 11:19:00,192,297
2012-11-23 11:19:00,182,297
2012-11-23 11:19:00,182,235
2012-11-23 11:19:00,272,192
2012-11-23 11:19:00,182,76
2012-11-23 11:19:00,152,76
2012-11-23 11:20:00,192,260
2012-11-23 11:20:00,260,235
2012-11-23 11:20:00,236,235
2012-11-23 11:20:00,172,235
2012-11-23 11:20:00,135,235
2012-11-23 11:20:00,280,76
2012-11-23 11:20:00,235,42
2012-11-23 11:20:00,172,39
2012-11-23 11:21:00,224,260
2012-11-23 11:21:00,172,235
2012-11-23 11:21:00,143,235
2012-11-23 11:21:00,333,192
2012-11-23 11:21:00,76,152
2012-11-23 11:21:00,246,78
2012-11-23 11:21:00,297,76
2012-11-23 11:21:00,280,60
2012-11-23 11:22:00,272,333
2012-11-23 11:22:00,224,333
2012-11-23 11:22:00,192,333
2012-11-23 11:22:00,60,333
2012-11-23 11:22:00,283,301
2012-11-23 11:22:00,333,297
2012-11-23 11:22:00,92,297
2012-11-23 11:22:00,297,272
2012-11-23 11:22:00,192,272
2012-11-23 11:22:00,92,235
2012-11-23 11:22:00,76,152
2012-11-23 11:22:00,301,143
2012-11-23 11:22:00,60,143
2012-11-23 11:22:00,76,132
2012-11-23 11:22:00,333,85
2012-11-23 11:22:00,283,76
2012-11-23 11:22:00,272,76
2012-11-23 11:22:00,224,76
2012-11-23 11:22:00,60,76
2012-11-23 11:22:00,333,60
2012-11-23 11:22:00,246,60
2012-11-23 11:22:00,246,18
2012-11-23 11:23:00,224,333
2012-11-23 11:23:00,76,297
2012-11-23 11:23:00,60,297
2012-11-23 11:23:00,333,277
2012-11-23 11:23:00,143,272
2012-11-23 11:23:00,272,260
2012-11-23 11:23:00,35,235
2012-11-23 11:23:00,333,85
2012-11-23 11:23:00,272,76
2012-11-23 11:23:00,192,76
2012-11-23 11:23:00,192,76
2012-11-23 11:24:00,246,333
2012-11-23 11:24:00,277,272
2012-11-23 11:24:00,182,192
2012-11-23 11:24:00,283,182
2012-11-23 11:24:00,116,182
2012-11-23 11:24:00,216,152
2012-11-23 11:24:00,76,133
2012-11-23 11:24:00,333,116
2012-11-23 11:24:00,182,76
2012-11-23 11:25:00,186,333
2012-11-23 11:25:00,333,297
2012-11-23 11:25:00,260,297
2012-11-23 11:25:00,224,297
2012-11-23 11:25:00,216,297
2012-11-23 11:25:00,199,297
2012-11-23 11:25:00,199,297
2012-11-23 11:25:00,116,297
2012-11-23 11:25:00,65,297
2012-11-23 11:25:00,60,297
2012-11-23 11:25:00,283,272
2012-11-23 11:25:00,277,60
2012-11-23 11:26:00,65,333
2012-11-23 11:26:00,192,297
2012-11-23 11:26:00,333,280
2012-11-23 11:26:00,224,272
2012-11-23 11:26:00,246,260
2012-11-23 11:26:00,297,192
2012-11-23 11:26:00,297,192
2012-11-23 11:26:00,224,192
2012-11-23 11:26:00,182,78
2012-11-23 11:26:00,246,18
2012-11-23 11:27:00,277,297
2012-11-23 11:27:00,260,297
2012-11-23 11:27:00,186,297
2012-11-23 11:27:00,182,297
2012-11-23 11:27:00,260,272
2012-11-23 11:27:00,60,272
2012-11-23 11:27:00,199,192
2012-11-23 11:27:00,7,192
2012-11-23 11:27:00,182,172
2012-11-23 11:27:00,246,152
2012-11-23 11:27:00,182,148
2012-11-23 11:27:00,333,120
2012-11-23 11:28:00,277,235
2012-11-23 11:28:00,224,235
2012-11-23 11:28:00,186,235
2012-11-23 11:28:00,60,235
2012-11-23 11:28:00,229,18
2012-11-23 11:29:00,260,283
2012-11-23 11:29:00,277,235
2012-11-23 11:29:00,224,235
2012-11-23 11:29:00,297,192
2012-11-23 11:29:00,277,192
2012-11-23 11:29:00,60,152
2012-11-23 11:29:00,28,76
2012-11-23 11:29:00,28,42
2012-11-23 11:30:00,224,297
2012-11-23 11:30:00,186,297
2012-11-23 11:30:00,116,297
2012-11-23 11:30:00,297,283
2012-11-23 11:30:00,297,260
2012-11-23 11:30:00,283,260
2012-11-23 11:30:00,277,235
2012-11-23 11:30:00,199,182
2012-11-23 11:30:00,297,158
2012-11-23 11:30:00,272,158
2012-11-23 11:30:00,7,158
2012-11-23 11:30:00,333,132
2012-11-23 11:30:00,186,116
2012-11-23 11:30:00,297,76
